material_id,formula,A,formation_energy_eV_atom,hull_eV_atom,band_gap_eV_audit_only,nsites_audit_only,source,Sn_fraction,O_fraction,A_fraction,entropy,mean_Z,std_Z,A_weighted_Z,mean_atomic_mass,std_atomic_mass,A_weighted_atomic_mass,mean_X,std_X,A_weighted_X,mean_atomic_radius,std_atomic_radius,A_weighted_atomic_radius,mean_row,std_row,A_weighted_row,mean_group,std_group,A_weighted_group,mean_mendeleev_no,std_mendeleev_no,A_weighted_mendeleev_no,mean_electron_affinity,std_electron_affinity,A_weighted_electron_affinity,mean_ionization_energy,std_ionization_energy,A_weighted_ionization_energy,struct_volume_per_atom,struct_density,struct_axis_ratio_mid,struct_axis_ratio_long,struct_angle_deviation
mp-1047488,Sn3(AsO4)4,As,-1.590664148,0.182052342,0.5683,46,Materials_Project,0.130434783,0.695652174,0.173913044,0.822344917,17.82608696,15.56375995,5.739130435,39.64377391,37.6929281,13.02984348,3.027826087,0.62603623,0.379130435,0.806521739,0.322794977,0.2,2.739130435,1.150326657,0.695652174,15.56521739,0.711769806,2.608695652,96.56521739,6.901959942,15.47826087,1.301389716,0.255662991,0.139910661,12.13368843,2.341291962,1.702356522,14.99242298,4.39088701,1.743060737,3.225672708,6.67170315
mp-1047628,Mg(SnO2)2,Mg,-2.087274076,0.162318747,1.5423,28,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,20.57142857,18.66132091,1.714285714,46.5318,45.73577148,3.472142857,2.712857143,0.863261495,0.187142857,0.971428571,0.429166254,0.214285714,3,1.309307341,0.428571429,13.42857143,4.746642207,0.285714286,91.85714286,10.99907232,10.42857143,1.092656045,0.636050782,-0.06,10.97232743,3.056447323,1.092319429,14.34886391,5.384947006,3.386433045,3.806085427,4.488012336
mp-1047786,Mg(SnO2)2,Mg,-2.140196157,0.109396666,1.1012,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,20.57142857,18.66132091,1.714285714,46.5318,45.73577148,3.472142857,2.712857143,0.863261495,0.187142857,0.971428571,0.429166254,0.214285714,3,1.309307341,0.428571429,13.42857143,4.746642207,0.285714286,91.85714286,10.99907232,10.42857143,1.092656045,0.636050782,-0.06,10.97232743,3.056447323,1.092319429,14.32250693,5.394856648,1,1,19.88280518
mp-1047985,Zn(SnO2)4,Zn,-1.80963965,0.176096613,0,13,Materials_Project,0.307692308,0.615384615,0.076923077,0.858740913,22.61538462,19.14133048,2.307692308,51.4034,46.69410783,5.031461538,2.846923077,0.754120829,0.126923077,0.919230769,0.404559809,0.103846154,3.076923077,1.384615385,0.307692308,15.07692308,1.268647885,0.923076923,93.53846154,9.59659703,5.846153846,1.193629587,0.546896062,-0.047692308,11.36263915,2.897883159,0.722630539,14.68400416,5.812948086,1,1.342989762,49.56001544
mp-1047987,Ca(SnO2)4,Ca,-2.1035204,0.156718247,0.5572,13,Materials_Project,0.307692308,0.615384615,0.076923077,0.858740913,21.84615385,19.02971827,1.538461538,49.45486154,46.59742944,3.082923077,2.796923077,0.847579219,0.076923077,0.953846154,0.455927431,0.138461539,3.076923077,1.384615385,0.307692308,14.30769231,3.666577012,0.153846154,88.92307692,22.57453139,1.230769231,1.243210433,0.38568361,0.001888538,11.11025134,3.186807759,0.470242729,15.48663911,5.302747035,1,1.278918449,45.93248337
mp-1048188,Ba2Sn3O7,Ba,-2.178204812,0.249635815,0,12,Materials_Project,0.25,0.583333333,0.166666667,0.959614794,26.5,21.97157254,9.333333333,61.89831667,54.62649577,22.88783333,2.645,0.999662443,0.148333333,1.070833333,0.59946446,0.358333333,3.416666667,1.705790791,1,13.16666667,5.063485844,0.333333333,82,31.3289004,2.333333333,1.154437788,0.474620238,0.024104333,10.64845568,3.577789625,0.868610767,18.01425162,5.705736499,1.043827279,3.534348421,0
mp-1048412,MgSnO2,Mg,-2.09056713,0.243438656,1.1683,16,Materials_Project,0.25,0.5,0.25,1.039720771,19.5,17.68473918,3,43.75345,43.40881586,6.07625,2.5375,0.931299495,0.3275,1.0375,0.437856997,0.375,3,1.224744871,0.75,12,5.830951895,0.5,89.5,12.03120942,18.25,0.90357404,0.777338122,-0.105,10.556566,3.063354276,1.911559,16.64467569,4.365018243,2.564321734,2.839661049,3.3330731
mp-1049297,Ca(SnO2)2,Ca,-2.221853343,0.168458091,0.4125,42,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,16.36467679,4.950268296,1.064381281,2.545075019,10.59450194
mp-1101386,Sn2P2O7,P,-2.309177272,0.059944021,2.8001,66,Materials_Project,0.181818182,0.636363636,0.181818182,0.907535294,16.90909091,15.81974914,2.727272727,37.39666582,38.7428878,5.631593091,2.943636364,0.66027918,0.398181818,0.827272727,0.329850956,0.181818182,2.727272727,1.135454182,0.545454546,15.45454545,0.78202957,2.727272727,95.72727273,7.287485027,16.36363636,1.267740861,0.278530681,0.135747111,11.907963,2.452678919,1.906670182,15.68231449,3.959786968,1.250356641,1.250356641,20.48740842
mp-1101394,SnGeO3,Ge,-1.803125897,0.142748462,2.5994,10,Materials_Project,0.2,0.6,0.2,0.950270539,21.2,17.13942823,6.4,47.86964,41.66308662,14.528,2.858,0.712976858,0.402,0.9,0.372827038,0.25,3,1.264911064,0.8,15.2,0.979795897,2.8,94,8.579044236,16.8,1.34561711,0.146504367,0.246535283,11.2195036,2.942861387,1.579887,15.72069586,5.056354248,1.000000008,1.000000008,45.68585726
